column,name,short_name,type
1,host,host,chr
2,process,process,chr
3,timestamp,timestamp,dttm
4,isAnomaly,isAnomaly,chr
5,Prepared statement cache hit rate:((source06.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source06.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source06.JDBCDataSourceRuntime,dbl
6,Memory space usage:((Code.MemoryPool.Usage.committed / Code.MemoryPool.Usage.max)),Memory space usage:Code.Committed,dbl
7,Active connections:(source04.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source04.JDBCConnectionPoolRuntime,dbl
8,Available db connection activity:(d/dx (source02.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source02.JDBCDataSourceRuntime,dbl
9,Active connections:(source03.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source03.JDBCConnectionPoolRuntime,dbl
10,DB connection started:(incld/dx (source02.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source02.JDBCDataSourceRuntime,dbl
11,Heap usage activity:(d/dx (Memory.HeapMemoryUsage.used)),Heap usage activity,dbl
12,Connection delay:(source10.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source10.JDBCDataSourceRuntime,dbl
13,Stuck threads:(ThreadPoolRuntime.ThreadPoolRuntime.StuckThreadCount),Stuck threads:ThreadPoolRuntime,dbl
14,Reserve request activity:(incld/dx (source02.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source02.JDBCDataSourceRuntime,dbl
15,Stuck threads:(DataRetirementWorkManager.WorkManagerRuntime.StuckThreadCount),Stuck threads:DataRetirementWorkManager,dbl
16,DB connection started:(incld/dx (source09.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source09.JDBCConnectionPoolRuntime,dbl
17,Connection delay:(source06.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source06.JDBCDataSourceRuntime,dbl
18,Active connections:(source01.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source01.JDBCDataSourceRuntime,dbl
19,Memory space activity:(d/dx ((PS Old Gen.MemoryPool.Usage.committed / PS Old Gen.MemoryPool.Usage.max))),Memory space commited/max:PS Old Gen,dbl
20,Active connections:(source08.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source08.JDBCConnectionPoolRuntime,dbl
21,Rel. heap committed:((Memory.HeapMemoryUsage.committed / Memory.HeapMemoryUsage.max)),Rel. heap committed,dbl
22,Active connections:(source05.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source05.JDBCConnectionPoolRuntime,dbl
